init_checkpoint=/root/incumbent/auxhead-lite/seed17/selected_model.pt
init_checkpoint_variant=tom
init_checkpoint_seed=17
init_checkpoint_train_episodes=800
init_checkpoint_missing_keys=[]
init_checkpoint_unexpected_keys=[]
episode=6450 loss=0.3226 policy_loss=-0.4764 reward_sum=-1.248
episode=6500 loss=0.6938 policy_loss=0.1608 reward_sum=-0.140
episode=6550 loss=0.6774 policy_loss=0.1675 reward_sum=0.568
episode=6600 loss=0.6241 policy_loss=0.1034 reward_sum=-0.164
episode=6650 loss=0.4774 policy_loss=-0.0262 reward_sum=0.508
episode=6700 loss=0.6329 policy_loss=0.0720 reward_sum=-0.104
episode=6750 loss=0.4943 policy_loss=-0.0513 reward_sum=0.488
episode=6800 loss=0.9151 policy_loss=0.3400 reward_sum=-0.128
latest_checkpoint=/root/outputs/auxhead-lite/seed17/target-140000/checkpoints/latest-tom_seed17.pt
latest_curve_csv=/root/outputs/auxhead-lite/seed17/target-140000/curves/latest-curve-tom-seed17.csv
episode=6850 loss=0.3749 policy_loss=-0.2014 reward_sum=-0.708
episode=6900 loss=1.1201 policy_loss=0.5589 reward_sum=-0.164
episode=6950 loss=0.3873 policy_loss=-0.0202 reward_sum=0.508
episode=7000 loss=0.8749 policy_loss=0.3239 reward_sum=-0.128
episode=7050 loss=0.5795 policy_loss=-0.2788 reward_sum=-1.630
episode=7100 loss=0.6643 policy_loss=0.1064 reward_sum=-0.116
episode=7150 loss=0.3622 policy_loss=-0.1557 reward_sum=0.437
episode=7200 loss=0.2405 policy_loss=-0.2965 reward_sum=-0.768
episode=7250 loss=0.5250 policy_loss=0.0197 reward_sum=0.320
episode=7300 loss=0.6668 policy_loss=0.1157 reward_sum=-0.200
episode=7350 loss=0.4016 policy_loss=-0.0988 reward_sum=0.367
episode=7400 loss=0.6843 policy_loss=0.1150 reward_sum=-0.176
episode=7450 loss=0.3318 policy_loss=-0.1397 reward_sum=0.356
episode=7500 loss=0.2102 policy_loss=-0.3421 reward_sum=-0.108
episode=7550 loss=-0.0289 policy_loss=-0.7887 reward_sum=-1.279
episode=7600 loss=0.6393 policy_loss=0.1011 reward_sum=-0.140
episode=7650 loss=0.4510 policy_loss=-0.0260 reward_sum=-0.720
episode=7700 loss=0.5192 policy_loss=-0.0034 reward_sum=-0.152
episode=7750 loss=0.3725 policy_loss=-0.1274 reward_sum=0.298
episode=7800 loss=0.6535 policy_loss=0.1014 reward_sum=-0.140
episode=7850 loss=0.3986 policy_loss=-0.1383 reward_sum=0.367
episode=7900 loss=0.5625 policy_loss=0.0338 reward_sum=-0.164
episode=7950 loss=0.4018 policy_loss=-0.5374 reward_sum=-1.260
episode=8000 loss=0.1505 policy_loss=-0.3918 reward_sum=-0.128
episode=8050 loss=0.1948 policy_loss=-0.3598 reward_sum=-0.692
episode=8100 loss=0.6762 policy_loss=0.1037 reward_sum=-0.128
episode=8150 loss=0.2596 policy_loss=-0.2275 reward_sum=0.351
episode=8200 loss=0.6724 policy_loss=0.1415 reward_sum=-0.152
episode=8250 loss=0.0175 policy_loss=-0.4578 reward_sum=-0.724
episode=8300 loss=0.9517 policy_loss=0.4042 reward_sum=-0.164
episode=8350 loss=0.0841 policy_loss=-0.9107 reward_sum=-1.417
episode=8400 loss=0.2206 policy_loss=-0.3321 reward_sum=-0.092
episode=8450 loss=0.3185 policy_loss=-0.1989 reward_sum=0.308
episode=8500 loss=0.6861 policy_loss=0.1567 reward_sum=-0.152
episode=8550 loss=0.3004 policy_loss=-0.2298 reward_sum=0.478
episode=8600 loss=0.5225 policy_loss=-0.0022 reward_sum=-0.128
episode=8650 loss=0.3024 policy_loss=-0.1974 reward_sum=0.469
episode=8700 loss=0.6327 policy_loss=0.1147 reward_sum=-0.140
episode=8750 loss=0.2892 policy_loss=-0.2259 reward_sum=0.328
episode=8800 loss=0.6372 policy_loss=0.0795 reward_sum=-0.164
latest_checkpoint=/root/outputs/auxhead-lite/seed17/target-140000/checkpoints/latest-tom_seed17.pt
latest_curve_csv=/root/outputs/auxhead-lite/seed17/target-140000/curves/latest-curve-tom-seed17.csv
episode=8850 loss=0.1613 policy_loss=-0.3120 reward_sum=0.320
episode=8900 loss=0.7078 policy_loss=0.1845 reward_sum=-0.152
episode=8950 loss=-0.2332 policy_loss=-1.0710 reward_sum=-1.285
episode=9000 loss=0.4272 policy_loss=-0.1112 reward_sum=-0.213
episode=9050 loss=0.6145 policy_loss=0.0869 reward_sum=0.599
episode=9100 loss=0.5711 policy_loss=0.0165 reward_sum=-0.140
episode=9150 loss=0.3287 policy_loss=-0.1600 reward_sum=0.320
episode=9200 loss=0.7145 policy_loss=0.1651 reward_sum=-0.176
episode=9250 loss=0.2592 policy_loss=-0.3913 reward_sum=-1.248
episode=9300 loss=0.7674 policy_loss=0.1929 reward_sum=-0.188
episode=9350 loss=0.0276 policy_loss=-0.4587 reward_sum=-0.712
episode=9400 loss=0.6856 policy_loss=0.1100 reward_sum=-0.152
episode=9450 loss=0.3821 policy_loss=-0.3823 reward_sum=-1.248
episode=9500 loss=0.5733 policy_loss=0.0300 reward_sum=-0.128
episode=9550 loss=1.5208 policy_loss=0.7521 reward_sum=-1.285
episode=9600 loss=0.6526 policy_loss=0.1156 reward_sum=-0.152
episode=9650 loss=0.2885 policy_loss=-0.2322 reward_sum=0.466
episode=9700 loss=0.5847 policy_loss=0.0569 reward_sum=-0.140
episode=9750 loss=0.1191 policy_loss=-0.6457 reward_sum=-1.285
episode=9800 loss=0.6016 policy_loss=0.0625 reward_sum=-0.128
episode=9850 loss=-0.3677 policy_loss=-1.1340 reward_sum=-1.285
episode=9900 loss=0.6046 policy_loss=0.0774 reward_sum=-0.128
episode=9950 loss=0.3487 policy_loss=-0.1801 reward_sum=0.359
episode=10000 loss=0.5629 policy_loss=0.0648 reward_sum=-0.128
episode=10050 loss=0.5929 policy_loss=-0.4600 reward_sum=-1.298
episode=10100 loss=0.6343 policy_loss=0.0768 reward_sum=-0.164
episode=10150 loss=0.1597 policy_loss=-0.6108 reward_sum=-1.285
episode=10200 loss=0.6488 policy_loss=0.0906 reward_sum=-0.188
episode=10250 loss=0.9148 policy_loss=0.3821 reward_sum=0.619
episode=10300 loss=0.6281 policy_loss=0.0840 reward_sum=-0.152
episode=10350 loss=0.3327 policy_loss=-0.6615 reward_sum=-1.531
episode=10400 loss=0.5137 policy_loss=-0.0072 reward_sum=-0.128
episode=10450 loss=0.3201 policy_loss=-0.1768 reward_sum=0.398
episode=10500 loss=0.4450 policy_loss=-0.0825 reward_sum=-0.164
episode=10550 loss=0.2524 policy_loss=-0.2538 reward_sum=0.469
episode=10600 loss=0.6333 policy_loss=0.0973 reward_sum=-0.152
episode=10650 loss=0.6974 policy_loss=0.2332 reward_sum=0.502
episode=10700 loss=0.3212 policy_loss=-0.2431 reward_sum=-0.720
episode=10750 loss=0.2563 policy_loss=-0.2230 reward_sum=0.369
episode=10800 loss=0.6182 policy_loss=0.0862 reward_sum=-0.152
latest_checkpoint=/root/outputs/auxhead-lite/seed17/target-140000/checkpoints/latest-tom_seed17.pt
latest_curve_csv=/root/outputs/auxhead-lite/seed17/target-140000/curves/latest-curve-tom-seed17.csv
episode=10850 loss=0.2168 policy_loss=-0.2280 reward_sum=0.406
episode=10900 loss=0.5223 policy_loss=0.0105 reward_sum=-0.140
episode=10950 loss=0.1138 policy_loss=-0.3269 reward_sum=0.346
episode=11000 loss=0.5701 policy_loss=0.0216 reward_sum=-0.164
episode=11050 loss=0.3703 policy_loss=-0.0845 reward_sum=0.580
episode=11100 loss=0.6597 policy_loss=0.0862 reward_sum=-0.116
episode=11150 loss=0.3157 policy_loss=-0.1233 reward_sum=0.347
episode=11200 loss=0.5561 policy_loss=0.0331 reward_sum=-0.188
episode=11250 loss=0.2863 policy_loss=-0.1977 reward_sum=0.478
episode=11300 loss=0.1927 policy_loss=-0.3506 reward_sum=-0.152
episode=11350 loss=0.2974 policy_loss=-0.1728 reward_sum=0.296
episode=11400 loss=0.5011 policy_loss=-0.0228 reward_sum=-0.140
episode=11450 loss=0.2478 policy_loss=-0.2125 reward_sum=0.308
episode=11500 loss=0.6441 policy_loss=0.1147 reward_sum=-0.092
episode=11550 loss=0.2790 policy_loss=-0.2175 reward_sum=0.417
episode=11600 loss=-0.1007 policy_loss=-0.6630 reward_sum=-0.148
episode=11650 loss=0.0735 policy_loss=-0.4304 reward_sum=-0.718
episode=11700 loss=0.6691 policy_loss=0.1773 reward_sum=-0.140
episode=11750 loss=0.3436 policy_loss=-0.1081 reward_sum=-0.772
episode=11800 loss=0.6118 policy_loss=0.0869 reward_sum=-0.140
episode=11850 loss=0.2022 policy_loss=-0.2518 reward_sum=-0.680
episode=11900 loss=0.5788 policy_loss=0.0545 reward_sum=-0.140
episode=11950 loss=0.6616 policy_loss=0.2225 reward_sum=0.344
episode=12000 loss=0.6113 policy_loss=0.0626 reward_sum=-0.176
episode=12050 loss=0.1830 policy_loss=-0.2353 reward_sum=0.332
episode=12100 loss=0.6504 policy_loss=0.1270 reward_sum=-0.140
episode=12150 loss=0.2143 policy_loss=-0.3025 reward_sum=0.505
episode=12200 loss=0.6384 policy_loss=0.0814 reward_sum=-0.152
episode=12250 loss=0.1058 policy_loss=-0.4044 reward_sum=-0.712
episode=12300 loss=0.5300 policy_loss=-0.0003 reward_sum=-0.176
episode=12350 loss=0.4935 policy_loss=-0.0109 reward_sum=-0.712
episode=12400 loss=0.6514 policy_loss=0.1039 reward_sum=-0.116
episode=12450 loss=-0.2050 policy_loss=-0.9236 reward_sum=-1.285
episode=12500 loss=0.4574 policy_loss=-0.0583 reward_sum=-0.188
episode=12550 loss=0.2075 policy_loss=-0.2290 reward_sum=0.391
episode=12600 loss=0.6083 policy_loss=0.1440 reward_sum=-0.200
episode=12650 loss=0.2742 policy_loss=-0.1898 reward_sum=0.437
episode=12700 loss=0.6074 policy_loss=0.0875 reward_sum=-0.152
episode=12750 loss=0.3734 policy_loss=-0.1243 reward_sum=0.457
episode=12800 loss=0.6291 policy_loss=0.1251 reward_sum=-0.164
latest_checkpoint=/root/outputs/auxhead-lite/seed17/target-140000/checkpoints/latest-tom_seed17.pt
latest_curve_csv=/root/outputs/auxhead-lite/seed17/target-140000/curves/latest-curve-tom-seed17.csv
episode=12850 loss=0.3074 policy_loss=-0.1507 reward_sum=0.367
