init_checkpoint=/root/incumbent/v6-omx-full2-promo-candidate/seed7/selected_model.pt
init_checkpoint_variant=tom
init_checkpoint_seed=7
init_checkpoint_train_episodes=800
init_checkpoint_missing_keys=[]
init_checkpoint_unexpected_keys=[]
episode=7400 loss=0.3660 policy_loss=-0.1779 reward_sum=-0.152
episode=7450 loss=0.2064 policy_loss=-0.4986 reward_sum=-1.248
episode=7500 loss=0.5527 policy_loss=0.0143 reward_sum=-0.152
episode=7550 loss=0.3420 policy_loss=-0.1925 reward_sum=-0.732
episode=7600 loss=0.7393 policy_loss=0.1686 reward_sum=-0.140
episode=7650 loss=0.3854 policy_loss=-0.1116 reward_sum=0.355
episode=7700 loss=0.9550 policy_loss=0.4048 reward_sum=-0.128
episode=7750 loss=0.2242 policy_loss=-0.5640 reward_sum=-1.294
episode=7800 loss=0.6215 policy_loss=0.1114 reward_sum=-0.164
episode=7850 loss=0.6310 policy_loss=0.1510 reward_sum=0.476
episode=7900 loss=0.5691 policy_loss=0.0238 reward_sum=-0.152
episode=7950 loss=0.3733 policy_loss=-0.0814 reward_sum=0.508
episode=8000 loss=0.6147 policy_loss=0.1081 reward_sum=-0.092
episode=8050 loss=0.3218 policy_loss=-0.1210 reward_sum=0.406
episode=8100 loss=0.5360 policy_loss=0.0199 reward_sum=-0.140
episode=8150 loss=0.2499 policy_loss=-0.2088 reward_sum=0.288
episode=8200 loss=0.6429 policy_loss=0.1520 reward_sum=-0.116
episode=8250 loss=0.7748 policy_loss=-0.1029 reward_sum=-1.260
episode=8300 loss=0.6527 policy_loss=0.1059 reward_sum=-0.164
episode=8350 loss=0.2966 policy_loss=-0.2411 reward_sum=0.576
episode=8400 loss=0.7109 policy_loss=0.1848 reward_sum=-0.152
episode=8450 loss=0.0648 policy_loss=-0.4119 reward_sum=0.454
episode=8500 loss=0.6459 policy_loss=0.1314 reward_sum=-0.152
episode=8550 loss=0.2780 policy_loss=-0.1888 reward_sum=0.437
episode=8600 loss=0.6912 policy_loss=0.1290 reward_sum=-0.164
episode=8650 loss=-0.0477 policy_loss=-0.5431 reward_sum=0.624
episode=8700 loss=0.3889 policy_loss=-0.1405 reward_sum=-0.140
episode=8750 loss=0.2614 policy_loss=-0.2344 reward_sum=0.466
episode=8800 loss=0.6442 policy_loss=0.1166 reward_sum=-0.176
latest_checkpoint=/root/outputs/v6-omx-full2-promo-candidate/seed7/target-140000/checkpoints/latest-tom_seed7.pt
latest_curve_csv=/root/outputs/v6-omx-full2-promo-candidate/seed7/target-140000/curves/latest-curve-tom-seed7.csv
episode=8850 loss=0.3576 policy_loss=-0.1268 reward_sum=0.508
episode=8900 loss=0.6264 policy_loss=0.1137 reward_sum=-0.092
episode=8950 loss=0.2167 policy_loss=-0.2254 reward_sum=-0.680
episode=9000 loss=0.6965 policy_loss=0.1574 reward_sum=-0.152
episode=9050 loss=0.2107 policy_loss=-0.2582 reward_sum=0.476
episode=9100 loss=0.6082 policy_loss=0.0781 reward_sum=-0.128
episode=9150 loss=0.2668 policy_loss=-0.1879 reward_sum=0.478
episode=9200 loss=0.6965 policy_loss=0.1524 reward_sum=-0.164
episode=9250 loss=-0.3746 policy_loss=-0.7847 reward_sum=-0.700
episode=9300 loss=0.8163 policy_loss=0.3305 reward_sum=-0.128
episode=9350 loss=0.2570 policy_loss=-0.2098 reward_sum=0.406
episode=9400 loss=0.5623 policy_loss=0.0919 reward_sum=-0.092
episode=9450 loss=0.2278 policy_loss=-0.2413 reward_sum=-0.692
episode=9500 loss=0.6883 policy_loss=0.1545 reward_sum=-0.140
episode=9550 loss=0.6805 policy_loss=-0.0657 reward_sum=-1.263
episode=9600 loss=0.6725 policy_loss=0.1608 reward_sum=-0.200
episode=9650 loss=0.2109 policy_loss=-0.2143 reward_sum=0.328
episode=9700 loss=0.1341 policy_loss=-0.3720 reward_sum=-0.164
episode=9750 loss=-0.0060 policy_loss=-0.7030 reward_sum=-1.285
episode=9800 loss=0.6178 policy_loss=0.1049 reward_sum=-0.140
episode=9850 loss=0.6123 policy_loss=0.1826 reward_sum=0.324
episode=9900 loss=0.6938 policy_loss=0.1302 reward_sum=-0.140
episode=9950 loss=0.5508 policy_loss=0.0613 reward_sum=0.356
episode=10000 loss=0.6485 policy_loss=0.1436 reward_sum=-0.164
episode=10050 loss=0.2301 policy_loss=-0.1964 reward_sum=0.478
episode=10100 loss=0.6182 policy_loss=0.1006 reward_sum=-0.104
episode=10150 loss=0.2465 policy_loss=-0.1804 reward_sum=0.328
episode=10200 loss=0.4490 policy_loss=-0.0510 reward_sum=-0.140
episode=10250 loss=0.2543 policy_loss=-0.1748 reward_sum=-0.702
episode=10300 loss=0.5850 policy_loss=0.0722 reward_sum=-0.164
episode=10350 loss=0.0847 policy_loss=-0.3410 reward_sum=0.360
episode=10400 loss=0.6389 policy_loss=0.1134 reward_sum=-0.200
episode=10450 loss=0.3615 policy_loss=-0.1016 reward_sum=0.379
episode=10500 loss=0.6103 policy_loss=0.0914 reward_sum=-0.200
episode=10550 loss=0.2737 policy_loss=-0.1455 reward_sum=0.308
episode=10600 loss=0.5635 policy_loss=0.0529 reward_sum=-0.176
