init_checkpoint=/root/incumbent/auxhead-lite/seed7/selected_model.pt
init_checkpoint_variant=tom
init_checkpoint_seed=7
init_checkpoint_train_episodes=800
init_checkpoint_missing_keys=[]
init_checkpoint_unexpected_keys=[]
episode=11200 loss=0.6431 policy_loss=0.1720 reward_sum=-0.200
episode=11250 loss=1.2098 policy_loss=-0.2967 reward_sum=-1.080
episode=11300 loss=0.7094 policy_loss=0.2215 reward_sum=-0.200
episode=11350 loss=0.9515 policy_loss=-0.0382 reward_sum=-0.880
episode=11400 loss=0.6475 policy_loss=0.1704 reward_sum=-0.200
episode=11450 loss=0.8398 policy_loss=-0.1151 reward_sum=-0.900
episode=11500 loss=0.6622 policy_loss=0.1931 reward_sum=-0.200
episode=11550 loss=0.9610 policy_loss=-0.1444 reward_sum=-0.910
episode=11600 loss=0.3228 policy_loss=-0.1645 reward_sum=-0.770
episode=11650 loss=0.9482 policy_loss=-0.1450 reward_sum=-0.875
episode=11700 loss=0.4960 policy_loss=-0.0003 reward_sum=-0.200
episode=11750 loss=1.0837 policy_loss=-0.1183 reward_sum=-1.040
episode=11800 loss=0.2722 policy_loss=-0.1787 reward_sum=-0.750
episode=11850 loss=0.9142 policy_loss=-0.0951 reward_sum=-0.880
episode=11900 loss=0.6776 policy_loss=0.2026 reward_sum=-0.200
episode=11950 loss=0.9280 policy_loss=-0.1433 reward_sum=-0.910
episode=12000 loss=0.6689 policy_loss=0.1820 reward_sum=-0.200
episode=12050 loss=0.7933 policy_loss=-0.0909 reward_sum=-0.880
episode=12100 loss=0.5242 policy_loss=0.0534 reward_sum=-0.200
episode=12150 loss=0.8928 policy_loss=-0.0856 reward_sum=-0.932
episode=12200 loss=0.4376 policy_loss=-0.0550 reward_sum=-0.200
episode=12250 loss=1.0632 policy_loss=0.0165 reward_sum=-1.047
episode=12300 loss=0.7025 policy_loss=0.2358 reward_sum=-0.200
episode=12350 loss=1.0329 policy_loss=-0.0051 reward_sum=-1.077
episode=12400 loss=0.7808 policy_loss=0.2967 reward_sum=-0.200
episode=12450 loss=0.8833 policy_loss=-0.2558 reward_sum=-0.930
episode=12500 loss=0.8993 policy_loss=0.4099 reward_sum=-0.200
episode=12550 loss=0.8989 policy_loss=-0.1356 reward_sum=-1.010
episode=12600 loss=0.7155 policy_loss=0.2064 reward_sum=-0.200
episode=12650 loss=0.8480 policy_loss=-0.5177 reward_sum=-0.965
episode=12700 loss=0.5300 policy_loss=0.0777 reward_sum=-0.720
episode=12750 loss=1.3113 policy_loss=0.2430 reward_sum=-0.460
episode=12800 loss=0.3412 policy_loss=-0.1287 reward_sum=-0.720
episode=12850 loss=1.0977 policy_loss=0.0219 reward_sum=-1.067
episode=12900 loss=0.5682 policy_loss=0.0987 reward_sum=-0.200
episode=12950 loss=1.0188 policy_loss=-0.0102 reward_sum=-0.985
episode=13000 loss=0.7220 policy_loss=0.2366 reward_sum=-0.200
episode=13050 loss=0.9013 policy_loss=-0.0105 reward_sum=-1.002
episode=13100 loss=0.7342 policy_loss=0.2530 reward_sum=-0.200
episode=13150 loss=0.8350 policy_loss=-0.0732 reward_sum=-0.940
episode=13200 loss=0.5597 policy_loss=0.0787 reward_sum=-0.200
episode=13250 loss=1.0563 policy_loss=0.0031 reward_sum=-1.065
episode=13300 loss=0.3979 policy_loss=-0.0803 reward_sum=-0.790
episode=13350 loss=0.8121 policy_loss=-0.1833 reward_sum=-0.927
episode=13400 loss=0.7094 policy_loss=0.2298 reward_sum=-0.200
episode=13450 loss=0.9660 policy_loss=-0.0215 reward_sum=-0.967
episode=13500 loss=0.6391 policy_loss=0.1568 reward_sum=-0.200
episode=13550 loss=1.1785 policy_loss=-0.0844 reward_sum=-0.400
episode=13600 loss=0.7700 policy_loss=0.2659 reward_sum=-0.200
episode=13650 loss=0.7895 policy_loss=-0.0685 reward_sum=-0.940
episode=13700 loss=0.7090 policy_loss=0.2211 reward_sum=-0.200
episode=13750 loss=0.9257 policy_loss=-0.0285 reward_sum=-1.030
episode=13800 loss=0.3172 policy_loss=-0.1709 reward_sum=-0.740
episode=13850 loss=0.9155 policy_loss=-0.1204 reward_sum=-0.940
episode=13900 loss=0.6164 policy_loss=0.1784 reward_sum=-0.720
episode=13950 loss=0.9259 policy_loss=-0.0290 reward_sum=-0.915
episode=14000 loss=0.4957 policy_loss=0.0333 reward_sum=-0.200
episode=14050 loss=0.9196 policy_loss=-0.0549 reward_sum=-0.940
episode=14100 loss=0.6076 policy_loss=0.1400 reward_sum=-0.200
episode=14150 loss=1.3696 policy_loss=-0.2995 reward_sum=-1.180
episode=14200 loss=0.7235 policy_loss=0.2630 reward_sum=-0.200
episode=14250 loss=1.1216 policy_loss=-0.2038 reward_sum=-1.000
episode=14300 loss=0.7582 policy_loss=0.2937 reward_sum=-0.200
episode=14350 loss=0.9179 policy_loss=-0.1014 reward_sum=-0.880
episode=14400 loss=0.6425 policy_loss=0.1561 reward_sum=-0.200
episode=14450 loss=1.1524 policy_loss=0.0411 reward_sum=-1.020
episode=14500 loss=0.3183 policy_loss=-0.1434 reward_sum=-0.750
episode=14550 loss=0.9083 policy_loss=-0.1318 reward_sum=-0.890
episode=14600 loss=0.4235 policy_loss=-0.0299 reward_sum=-0.720
episode=14650 loss=0.8231 policy_loss=-0.2649 reward_sum=-0.920
episode=14700 loss=0.7731 policy_loss=0.3008 reward_sum=-0.200
episode=14750 loss=1.0384 policy_loss=-0.1476 reward_sum=-0.930
episode=14800 loss=0.4588 policy_loss=-0.0041 reward_sum=-0.720
episode=14850 loss=0.9086 policy_loss=-0.0467 reward_sum=-0.940
episode=14900 loss=0.3231 policy_loss=-0.0998 reward_sum=-0.720
episode=14950 loss=0.8986 policy_loss=-0.0456 reward_sum=-0.880
episode=15000 loss=0.6480 policy_loss=0.1817 reward_sum=-0.200
episode=15050 loss=1.0616 policy_loss=-0.0435 reward_sum=-0.880
episode=15100 loss=0.3291 policy_loss=-0.1421 reward_sum=-0.800
episode=15150 loss=0.9210 policy_loss=-0.0519 reward_sum=-0.940
episode=15200 loss=0.5579 policy_loss=0.0915 reward_sum=-0.200
episode=15250 loss=0.8904 policy_loss=-0.1107 reward_sum=-0.910
episode=15300 loss=0.3198 policy_loss=-0.1300 reward_sum=-0.720
episode=15350 loss=0.7791 policy_loss=-0.2125 reward_sum=-0.900
episode=15400 loss=0.6941 policy_loss=0.1813 reward_sum=-0.200
episode=15450 loss=0.6335 policy_loss=-0.2379 reward_sum=-0.940
episode=15500 loss=0.5629 policy_loss=0.0893 reward_sum=-0.200
episode=15550 loss=1.0524 policy_loss=-0.2961 reward_sum=-0.985
episode=15600 loss=0.3272 policy_loss=-0.1229 reward_sum=-0.720
episode=15650 loss=1.3052 policy_loss=0.1834 reward_sum=-0.440
episode=15700 loss=0.4958 policy_loss=0.0017 reward_sum=-0.200
episode=15750 loss=0.9215 policy_loss=-0.1625 reward_sum=-1.020
episode=15800 loss=0.3163 policy_loss=-0.1486 reward_sum=-0.720
episode=15850 loss=1.0052 policy_loss=-0.1098 reward_sum=-0.460
episode=15900 loss=0.6717 policy_loss=0.1753 reward_sum=-0.200
episode=15950 loss=0.7128 policy_loss=-0.1945 reward_sum=-0.930
episode=16000 loss=0.3323 policy_loss=-0.1413 reward_sum=-0.720
episode=16050 loss=0.8072 policy_loss=-0.0390 reward_sum=-0.915
episode=16100 loss=0.5644 policy_loss=0.0987 reward_sum=-0.200
episode=16150 loss=0.9146 policy_loss=-0.1197 reward_sum=-0.940
episode=16200 loss=0.3040 policy_loss=-0.1670 reward_sum=-0.740
episode=16250 loss=0.7733 policy_loss=-0.0760 reward_sum=-0.940
episode=16300 loss=0.6709 policy_loss=0.1830 reward_sum=-0.200
episode=16350 loss=0.5172 policy_loss=-0.4985 reward_sum=-0.932
episode=16400 loss=0.7476 policy_loss=0.2855 reward_sum=-0.200
episode=16450 loss=0.4565 policy_loss=-0.4909 reward_sum=-0.920
episode=16500 loss=0.3142 policy_loss=-0.1595 reward_sum=-0.780
episode=16550 loss=1.1446 policy_loss=-0.2289 reward_sum=-1.065
episode=16600 loss=0.6505 policy_loss=0.1952 reward_sum=-0.200
episode=16650 loss=0.7491 policy_loss=-0.1960 reward_sum=-0.920
episode=16700 loss=0.3219 policy_loss=-0.1445 reward_sum=-0.800
episode=16750 loss=1.0298 policy_loss=0.0070 reward_sum=-1.020
episode=16800 loss=0.3083 policy_loss=-0.1532 reward_sum=-0.720
episode=16850 loss=0.9192 policy_loss=-0.1455 reward_sum=-0.895
episode=16900 loss=0.9419 policy_loss=0.4952 reward_sum=-0.200
episode=16950 loss=0.9440 policy_loss=-0.1880 reward_sum=-0.920
episode=17000 loss=0.4861 policy_loss=0.0403 reward_sum=-0.200
episode=17050 loss=1.0460 policy_loss=-0.0322 reward_sum=-1.050
episode=17100 loss=0.7001 policy_loss=0.2366 reward_sum=-0.200
episode=17150 loss=0.9856 policy_loss=-0.1824 reward_sum=-1.000
episode=17200 loss=0.6949 policy_loss=0.2294 reward_sum=-0.200
episode=17250 loss=0.9624 policy_loss=-0.1561 reward_sum=-0.980
episode=17300 loss=0.7161 policy_loss=0.2385 reward_sum=-0.200
episode=17350 loss=1.0158 policy_loss=0.0017 reward_sum=-1.065
episode=17400 loss=0.5874 policy_loss=0.1144 reward_sum=-0.200
episode=17450 loss=0.9644 policy_loss=-0.2058 reward_sum=-1.005
episode=17500 loss=0.3233 policy_loss=-0.1317 reward_sum=-0.720
episode=17550 loss=0.8524 policy_loss=-0.1015 reward_sum=-0.880
episode=17600 loss=0.5986 policy_loss=0.1422 reward_sum=-0.200
episode=17650 loss=0.9869 policy_loss=-0.0401 reward_sum=-0.915
episode=17700 loss=0.3568 policy_loss=-0.1170 reward_sum=-0.720
episode=17750 loss=0.9645 policy_loss=-0.2115 reward_sum=-0.965
episode=17800 loss=0.8925 policy_loss=0.4356 reward_sum=-0.200
episode=17850 loss=1.0875 policy_loss=-0.2604 reward_sum=-1.050
episode=17900 loss=0.7215 policy_loss=0.2289 reward_sum=-0.200
episode=17950 loss=0.8905 policy_loss=-0.0460 reward_sum=-0.950
episode=18000 loss=0.2522 policy_loss=-0.2183 reward_sum=-0.780
episode=18050 loss=1.0358 policy_loss=-0.1907 reward_sum=-1.085
episode=18100 loss=0.6694 policy_loss=0.1891 reward_sum=-0.200
episode=18150 loss=1.0824 policy_loss=-0.0483 reward_sum=-1.040
episode=18200 loss=0.7753 policy_loss=0.2853 reward_sum=-0.200
episode=18250 loss=0.8298 policy_loss=-0.0960 reward_sum=-0.880
episode=18300 loss=0.6944 policy_loss=0.2410 reward_sum=-0.200
episode=18350 loss=0.8957 policy_loss=-0.1097 reward_sum=-0.880
episode=18400 loss=0.7293 policy_loss=0.2598 reward_sum=-0.200
episode=18450 loss=1.3279 policy_loss=-0.0867 reward_sum=-1.360
episode=18500 loss=0.5870 policy_loss=0.1343 reward_sum=-0.200
episode=18550 loss=0.9048 policy_loss=-0.0696 reward_sum=-0.880
episode=18600 loss=0.5830 policy_loss=0.1179 reward_sum=-0.200
episode=18650 loss=0.8949 policy_loss=-0.0508 reward_sum=-0.940
episode=18700 loss=0.7220 policy_loss=0.2263 reward_sum=-0.200
