init_checkpoint=/root/incumbent/auxhead-lite/seed11/selected_model.pt
init_checkpoint_variant=tom
init_checkpoint_seed=11
init_checkpoint_train_episodes=800
init_checkpoint_missing_keys=[]
init_checkpoint_unexpected_keys=[]
episode=9200 loss=0.7827 policy_loss=0.2682 reward_sum=-0.200
episode=9250 loss=1.1058 policy_loss=0.0377 reward_sum=-0.460
episode=9300 loss=0.7438 policy_loss=0.2418 reward_sum=-0.200
episode=9350 loss=1.1023 policy_loss=0.0600 reward_sum=-1.055
episode=9400 loss=0.6731 policy_loss=0.1600 reward_sum=-0.200
episode=9450 loss=1.0939 policy_loss=-0.0867 reward_sum=-0.945
episode=9500 loss=0.3487 policy_loss=-0.0865 reward_sum=-0.720
episode=9550 loss=1.1083 policy_loss=-0.0427 reward_sum=-1.070
episode=9600 loss=0.6562 policy_loss=0.1720 reward_sum=-0.200
episode=9650 loss=1.0622 policy_loss=-0.3655 reward_sum=-0.420
episode=9700 loss=0.5669 policy_loss=0.0760 reward_sum=-0.200
episode=9750 loss=1.3919 policy_loss=0.0983 reward_sum=-0.380
episode=9800 loss=0.7455 policy_loss=0.2153 reward_sum=-0.200
episode=9850 loss=0.8271 policy_loss=-0.0653 reward_sum=-0.460
episode=9900 loss=0.7105 policy_loss=0.2024 reward_sum=-0.200
episode=9950 loss=1.0482 policy_loss=-0.0394 reward_sum=-1.010
episode=10000 loss=0.5706 policy_loss=0.0813 reward_sum=-0.200
episode=10050 loss=0.8751 policy_loss=-0.0870 reward_sum=-0.880
episode=10100 loss=0.7216 policy_loss=0.2123 reward_sum=-0.200
episode=10150 loss=0.8446 policy_loss=-0.1359 reward_sum=-0.940
episode=10200 loss=0.7522 policy_loss=0.2732 reward_sum=-0.200
episode=10250 loss=1.0198 policy_loss=-0.2056 reward_sum=-1.025
episode=10300 loss=0.5621 policy_loss=0.0827 reward_sum=-0.200
episode=10350 loss=0.9075 policy_loss=-0.0543 reward_sum=-0.940
episode=10400 loss=0.3386 policy_loss=-0.1497 reward_sum=-0.740
episode=10450 loss=0.8966 policy_loss=-0.0606 reward_sum=-0.940
episode=10500 loss=0.5778 policy_loss=0.0784 reward_sum=-0.200
episode=10550 loss=1.1274 policy_loss=0.0332 reward_sum=-0.360
episode=10600 loss=0.6121 policy_loss=0.1235 reward_sum=-0.200
episode=10650 loss=0.6446 policy_loss=-0.6657 reward_sum=-1.005
episode=10700 loss=0.6403 policy_loss=0.1428 reward_sum=-0.200
episode=10750 loss=1.0215 policy_loss=-0.3065 reward_sum=-0.930
episode=10800 loss=0.4631 policy_loss=-0.0052 reward_sum=-0.720
episode=10850 loss=1.2022 policy_loss=-0.0953 reward_sum=-0.515
episode=10900 loss=0.7629 policy_loss=0.2668 reward_sum=-0.200
episode=10950 loss=0.8768 policy_loss=-0.0582 reward_sum=-0.940
episode=11000 loss=0.3054 policy_loss=-0.1976 reward_sum=-0.750
episode=11050 loss=0.9229 policy_loss=-0.0780 reward_sum=-0.980
episode=11100 loss=0.5804 policy_loss=0.0632 reward_sum=-0.200
episode=11150 loss=1.0429 policy_loss=-0.0520 reward_sum=-0.975
episode=11200 loss=0.3999 policy_loss=-0.1381 reward_sum=-0.200
episode=11250 loss=1.2213 policy_loss=-0.0312 reward_sum=-0.460
episode=11300 loss=0.7381 policy_loss=0.2486 reward_sum=-0.200
episode=11350 loss=0.5080 policy_loss=-0.7912 reward_sum=-1.060
episode=11400 loss=0.4668 policy_loss=-0.0364 reward_sum=-0.200
episode=11450 loss=0.9069 policy_loss=-0.2514 reward_sum=-1.015
episode=11500 loss=0.5210 policy_loss=0.0486 reward_sum=-0.720
episode=11550 loss=1.2195 policy_loss=0.0664 reward_sum=-0.500
episode=11600 loss=0.3144 policy_loss=-0.1751 reward_sum=-0.760
episode=11650 loss=0.6409 policy_loss=-0.2305 reward_sum=-0.915
episode=11700 loss=0.4529 policy_loss=-0.0338 reward_sum=-0.200
episode=11750 loss=1.0758 policy_loss=-0.0529 reward_sum=-1.065
episode=11800 loss=0.6910 policy_loss=0.2248 reward_sum=-0.200
episode=11850 loss=0.7567 policy_loss=-0.1634 reward_sum=-0.895
episode=11900 loss=0.6456 policy_loss=0.1536 reward_sum=-0.200
episode=11950 loss=1.0768 policy_loss=0.0881 reward_sum=-0.480
episode=12000 loss=0.3476 policy_loss=-0.1258 reward_sum=-0.720
episode=12050 loss=0.5232 policy_loss=-0.5223 reward_sum=-1.260
episode=12100 loss=0.8133 policy_loss=0.3221 reward_sum=-0.200
episode=12150 loss=1.0136 policy_loss=-0.0147 reward_sum=-0.995
episode=12200 loss=0.7047 policy_loss=0.2154 reward_sum=-0.200
episode=12250 loss=0.2203 policy_loss=-0.7861 reward_sum=-1.260
episode=12300 loss=0.6464 policy_loss=0.1791 reward_sum=-0.200
episode=12350 loss=0.8310 policy_loss=-0.1773 reward_sum=-1.047
episode=12400 loss=0.3496 policy_loss=-0.1357 reward_sum=-0.800
episode=12450 loss=0.9571 policy_loss=-0.0606 reward_sum=-0.880
episode=12500 loss=0.6016 policy_loss=0.1234 reward_sum=-0.200
episode=12550 loss=0.9275 policy_loss=-0.0515 reward_sum=-0.940
episode=12600 loss=0.3797 policy_loss=-0.1069 reward_sum=-0.200
episode=12650 loss=0.6861 policy_loss=-0.2870 reward_sum=-0.920
episode=12700 loss=0.6185 policy_loss=0.1529 reward_sum=-0.200
episode=12750 loss=0.8849 policy_loss=-0.0556 reward_sum=-0.940
episode=12800 loss=0.6703 policy_loss=0.2020 reward_sum=-0.200
episode=12850 loss=1.0443 policy_loss=-0.1232 reward_sum=-0.940
episode=12900 loss=0.7852 policy_loss=0.3049 reward_sum=-0.200
episode=12950 loss=1.2712 policy_loss=-0.0281 reward_sum=-1.080
episode=13000 loss=0.6217 policy_loss=0.1415 reward_sum=-0.200
episode=13050 loss=1.0453 policy_loss=-0.0015 reward_sum=-1.050
episode=13100 loss=0.7080 policy_loss=0.2403 reward_sum=-0.200
episode=13150 loss=1.0496 policy_loss=-0.1985 reward_sum=-1.045
episode=13200 loss=0.5334 policy_loss=0.0580 reward_sum=-0.200
episode=13250 loss=0.9918 policy_loss=-0.3595 reward_sum=-1.030
episode=13300 loss=0.6463 policy_loss=0.1771 reward_sum=-0.200
episode=13350 loss=0.8830 policy_loss=-0.1307 reward_sum=-0.940
episode=13400 loss=0.4536 policy_loss=-0.0137 reward_sum=-0.200
