init_checkpoint=/root/incumbent/auxhead-lite-v2-local800/seed7/selected_model.pt
init_checkpoint_variant=tom
init_checkpoint_seed=7
init_checkpoint_train_episodes=800
init_checkpoint_missing_keys=[]
init_checkpoint_unexpected_keys=[]
episode=6350 loss=0.4226 policy_loss=-0.0505 reward_sum=0.508
episode=6400 loss=0.6376 policy_loss=0.1132 reward_sum=-0.116
episode=6450 loss=0.3888 policy_loss=-0.0834 reward_sum=-0.700
episode=6500 loss=0.7785 policy_loss=0.2644 reward_sum=-0.152
episode=6550 loss=0.1214 policy_loss=-0.4016 reward_sum=0.412
episode=6600 loss=0.6211 policy_loss=0.0722 reward_sum=-0.152
episode=6650 loss=0.4284 policy_loss=-0.1022 reward_sum=0.488
episode=6700 loss=0.5753 policy_loss=0.0528 reward_sum=-0.164
episode=6750 loss=0.1915 policy_loss=-0.2721 reward_sum=0.332
episode=6800 loss=0.4874 policy_loss=-0.0566 reward_sum=-0.152
latest_checkpoint=/root/outputs/auxhead-lite/seed7/target-140000/checkpoints/latest-tom_seed7.pt
latest_curve_csv=/root/outputs/auxhead-lite/seed7/target-140000/curves/latest-curve-tom-seed7.csv
episode=6850 loss=0.1773 policy_loss=-0.2892 reward_sum=0.486
episode=6900 loss=0.5940 policy_loss=0.0965 reward_sum=-0.152
episode=6950 loss=0.3112 policy_loss=-0.1580 reward_sum=0.457
episode=7000 loss=0.4807 policy_loss=-0.0252 reward_sum=-0.164
episode=7050 loss=0.5073 policy_loss=0.0486 reward_sum=-0.704
episode=7100 loss=0.5055 policy_loss=-0.0552 reward_sum=-0.164
episode=7150 loss=0.3494 policy_loss=-0.1555 reward_sum=0.341
episode=7200 loss=0.6535 policy_loss=0.0669 reward_sum=-0.164
episode=7250 loss=0.4607 policy_loss=-0.0261 reward_sum=0.290
episode=7300 loss=0.5773 policy_loss=0.0310 reward_sum=-0.128
episode=7350 loss=0.1823 policy_loss=-0.2672 reward_sum=0.397
episode=7400 loss=0.6566 policy_loss=0.1068 reward_sum=-0.128
episode=7450 loss=0.2962 policy_loss=-0.4172 reward_sum=-1.248
episode=7500 loss=0.6678 policy_loss=0.0692 reward_sum=-0.152
episode=7550 loss=0.1244 policy_loss=-0.3827 reward_sum=0.523
episode=7600 loss=0.6963 policy_loss=0.1464 reward_sum=-0.164
episode=7650 loss=0.3777 policy_loss=-0.1098 reward_sum=0.355
episode=7700 loss=0.6798 policy_loss=0.1429 reward_sum=-0.164
episode=7750 loss=0.2983 policy_loss=-0.2186 reward_sum=0.339
episode=7800 loss=0.4576 policy_loss=-0.0908 reward_sum=-0.176
episode=7850 loss=0.4808 policy_loss=-0.0446 reward_sum=-0.712
episode=7900 loss=0.7216 policy_loss=0.1145 reward_sum=-0.128
episode=7950 loss=0.2480 policy_loss=-0.2570 reward_sum=0.570
episode=8000 loss=0.8959 policy_loss=0.2871 reward_sum=-0.176
episode=8050 loss=0.3294 policy_loss=-0.2268 reward_sum=0.437
episode=8100 loss=0.6003 policy_loss=0.0648 reward_sum=-0.116
episode=8150 loss=0.1675 policy_loss=-0.3053 reward_sum=0.511
episode=8200 loss=0.7528 policy_loss=0.1835 reward_sum=-0.164
episode=8250 loss=0.1956 policy_loss=-0.2778 reward_sum=0.532
episode=8300 loss=0.6652 policy_loss=0.0894 reward_sum=-0.152
episode=8350 loss=0.2799 policy_loss=-0.1937 reward_sum=0.308
episode=8400 loss=0.5632 policy_loss=0.0160 reward_sum=-0.140
episode=8450 loss=0.5825 policy_loss=0.1016 reward_sum=-0.692
episode=8500 loss=0.6216 policy_loss=0.0842 reward_sum=-0.092
episode=8550 loss=0.1077 policy_loss=-0.7519 reward_sum=-1.357
episode=8600 loss=0.5852 policy_loss=0.0510 reward_sum=-0.164
episode=8650 loss=0.7078 policy_loss=0.2519 reward_sum=0.478
