init_checkpoint=/root/incumbent/v5-delayedtrust-split-candidate/seed7/selected_model.pt
init_checkpoint_variant=tom
init_checkpoint_seed=7
init_checkpoint_train_episodes=800
init_checkpoint_missing_keys=[]
init_checkpoint_unexpected_keys=[]
episode=13450 loss=-0.3498 policy_loss=-0.7684 reward_sum=0.300
episode=13500 loss=0.4021 policy_loss=-0.1033 reward_sum=-0.152
episode=13550 loss=0.1835 policy_loss=-0.1924 reward_sum=0.320
episode=13600 loss=0.7232 policy_loss=0.2194 reward_sum=-0.189
episode=13650 loss=0.1622 policy_loss=-0.3257 reward_sum=0.512
episode=13700 loss=0.7082 policy_loss=0.1445 reward_sum=-0.164
episode=13750 loss=0.2246 policy_loss=-0.2282 reward_sum=0.523
episode=13800 loss=0.7005 policy_loss=0.1840 reward_sum=-0.176
episode=13850 loss=0.2487 policy_loss=-0.2164 reward_sum=0.406
episode=13900 loss=0.6011 policy_loss=0.0704 reward_sum=-0.200
episode=13950 loss=0.1716 policy_loss=-0.2311 reward_sum=0.406
episode=14000 loss=0.6913 policy_loss=0.1305 reward_sum=-0.152
episode=14050 loss=0.2015 policy_loss=-0.2610 reward_sum=0.332
episode=14100 loss=0.6454 policy_loss=0.0773 reward_sum=-0.104
episode=14150 loss=0.2289 policy_loss=-0.2001 reward_sum=0.300
episode=14200 loss=0.5950 policy_loss=0.0556 reward_sum=-0.176
episode=14250 loss=0.3562 policy_loss=-0.0433 reward_sum=-0.710
episode=14300 loss=0.6597 policy_loss=0.1489 reward_sum=-0.140
episode=14350 loss=0.2984 policy_loss=-0.1263 reward_sum=0.457
episode=14400 loss=0.6074 policy_loss=0.0578 reward_sum=-0.188
episode=14450 loss=0.3090 policy_loss=-0.1127 reward_sum=0.357
episode=14500 loss=0.5881 policy_loss=0.0661 reward_sum=-0.152
episode=14550 loss=0.1367 policy_loss=-0.2941 reward_sum=0.386
episode=14600 loss=0.6411 policy_loss=0.1124 reward_sum=-0.104
episode=14650 loss=0.3255 policy_loss=-0.1227 reward_sum=0.457
episode=14700 loss=0.6127 policy_loss=0.0698 reward_sum=-0.176
episode=14750 loss=0.3113 policy_loss=-0.1353 reward_sum=0.437
episode=14800 loss=0.5762 policy_loss=0.0026 reward_sum=-0.200
latest_checkpoint=/root/outputs/v5-delayedtrust-split-candidate/seed7/target-140000/checkpoints/latest-tom_seed7.pt
latest_curve_csv=/root/outputs/v5-delayedtrust-split-candidate/seed7/target-140000/curves/latest-curve-tom-seed7.csv
episode=14850 loss=0.2194 policy_loss=-0.1869 reward_sum=0.330
episode=14900 loss=0.5891 policy_loss=0.0321 reward_sum=-0.200
episode=14950 loss=-0.2944 policy_loss=-1.0656 reward_sum=-1.285
episode=15000 loss=0.5701 policy_loss=-0.0001 reward_sum=-0.116
episode=15050 loss=0.1312 policy_loss=-0.3147 reward_sum=0.403
episode=15100 loss=0.6163 policy_loss=0.1007 reward_sum=-0.188
episode=15150 loss=0.2417 policy_loss=-0.1818 reward_sum=0.379
episode=15200 loss=0.6153 policy_loss=0.0757 reward_sum=-0.176
episode=15250 loss=0.0363 policy_loss=-0.3982 reward_sum=-0.700
episode=15300 loss=0.7594 policy_loss=0.1524 reward_sum=-0.164
episode=15350 loss=0.1635 policy_loss=-0.2893 reward_sum=0.517
episode=15400 loss=0.6011 policy_loss=0.0870 reward_sum=-0.128
episode=15450 loss=-0.3848 policy_loss=-1.0246 reward_sum=-1.285
episode=15500 loss=0.5563 policy_loss=0.0433 reward_sum=-0.176
